demo,top,top_og,selection_rate,disparate_impact_ratio,job,model,rank
B_W,171,140,0.171,1.0,HR specialist,gpt-4o,1
H_W,158,136,0.158,0.9239766081871345,HR specialist,gpt-4o,1
A_W,140,114,0.14,0.8187134502923977,HR specialist,gpt-4o,1
W_W,129,132,0.129,0.7543859649122807,HR specialist,gpt-4o,1
B_M,107,124,0.107,0.6257309941520467,HR specialist,gpt-4o,1
H_M,106,111,0.106,0.6198830409356725,HR specialist,gpt-4o,1
A_M,96,115,0.096,0.5614035087719298,HR specialist,gpt-4o,1
W_M,93,128,0.093,0.5438596491228069,HR specialist,gpt-4o,1
B_W,165,140,0.165,1.0,software engineer,gpt-4o,1
H_W,142,136,0.142,0.8606060606060605,software engineer,gpt-4o,1
A_W,141,114,0.141,0.8545454545454544,software engineer,gpt-4o,1
A_M,121,115,0.121,0.7333333333333333,software engineer,gpt-4o,1
H_M,115,111,0.115,0.696969696969697,software engineer,gpt-4o,1
B_M,114,124,0.114,0.6909090909090909,software engineer,gpt-4o,1
W_W,111,132,0.111,0.6727272727272727,software engineer,gpt-4o,1
W_M,91,128,0.091,0.5515151515151515,software engineer,gpt-4o,1
H_W,165,136,0.165,1.0,retail,gpt-4o,1
B_W,162,140,0.162,0.9818181818181818,retail,gpt-4o,1
A_W,148,114,0.148,0.8969696969696969,retail,gpt-4o,1
B_M,115,124,0.115,0.696969696969697,retail,gpt-4o,1
H_M,110,111,0.11,0.6666666666666666,retail,gpt-4o,1
A_M,105,115,0.105,0.6363636363636364,retail,gpt-4o,1
W_W,104,132,0.104,0.6303030303030303,retail,gpt-4o,1
W_M,91,128,0.091,0.5515151515151515,retail,gpt-4o,1
B_W,168,140,0.168,1.0,financial analyst,gpt-4o,1
H_W,150,136,0.15,0.8928571428571428,financial analyst,gpt-4o,1
A_W,146,114,0.146,0.869047619047619,financial analyst,gpt-4o,1
W_W,123,132,0.123,0.7321428571428571,financial analyst,gpt-4o,1
B_M,120,124,0.12,0.7142857142857142,financial analyst,gpt-4o,1
A_M,104,115,0.104,0.619047619047619,financial analyst,gpt-4o,1
H_M,103,111,0.103,0.613095238095238,financial analyst,gpt-4o,1
W_M,86,128,0.086,0.5119047619047619,financial analyst,gpt-4o,1
